"sentiment","message","tweetid"
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793166365934792704
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793166372079624193
1,"RT @iansomerhalder: IF Millennials do NOT get out and vote we are doomed.This is OUR future.Lets do this.Fixing climate change, womens' rigÃ¢â‚¬Â¦",793167169177649152
0,"RT @explicithooker: me: Leo come over
Leo: i can't im busy
me: my friend said global warming isn't real
Leo: https://t.co/kveRTYlpIi",793167508576604160
0,"@alroker AL. I might be related to wright brothers, and i think I just solved global warming. I sent emails to everyone!",793168139777298432
1,"9 ways global warming is affecting daily life: Lakes disappearing, drinking water supply at risk https://t.co/TPK7Di859X via @EnvDefenseFund",793168556972183552
2,"#weather Mediterranean to become desert unless global warming limited to 1.5Ã‚Â°C, study warns Ã¢â‚¬â€œ Inhabitat https://t.co/xm4Zq3X8kp #forecast",793168958559952896
2,"#weather Mediterranean to become desert unless global warming limited to 1.5Ã‚Â°C, study warns Ã¢â‚¬â€œ Inhabitat https://t.co/DJKmdnWYDa #forecast",793168974510821376
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793169076113649664
0,"RT @CatalyticRxn: Term 'global warming' was more controversial, among conservatives than 'climate change'. Liberals didn't care. #sciwri16",793169535264096256
0,"Watch Leonardo DiCaprio's climate change documentary free for limited time https://t.co/xCXLUJ3WCC https://t.co/vfpPFL4039",793169754068512771
2,"RT @thinkprogress: Will global warming help drive record election turnout? https://t.co/r7M77EAXeC https://t.co/detOUvCCWr",793169883290820608
2,"Alberta Tories are losing a big issue they've used to attack Notley's approach to climate change. https://t.co/VFqCYcKmuR",793169987393482753
1,"RT @_madisonwalsh_: if you don't believe in global warming come to tallahassee rn",793170553100263425
1,"RT @credfernjr: We just entered an alarming 'new era' of global warming https://t.co/WlTaD5O4km via @mashable",793171126775984129
1,"RT @retroJACE: global warming real as hell. al gore told us. leo dicaprio keep tryna tell us. its 82 degrees and its halloween. sumn aint rÃ¢â‚¬Â¦",793171794907664384
